"truss","1","2","3","4","5","6","7"
1,0.653027104972378,0.65995652737125,0.669477077901125,0.680179972788203,0.686234029457279,0.67275718907577,0.612594863926835
2,0.477146836659828,0.276921773757592,0.095967193800257,NA,NA,NA,NA
3,0.0139841394527752,0.00048949473413208,1.64468186436383e-06,NA,NA,NA,NA
4,1.13407793643647e-10,1.25278502565812e-17,0,NA,NA,NA,NA
5,NA,NA,NA,NA,NA,NA,NA
6,NA,NA,NA,NA,NA,NA,NA
7,NA,NA,NA,NA,NA,NA,NA
8,NA,NA,NA,NA,NA,NA,NA
9,NA,NA,NA,NA,NA,NA,NA
10,NA,NA,NA,NA,NA,NA,NA
11,NA,NA,NA,NA,NA,NA,NA
12,NA,NA,NA,NA,NA,NA,NA
13,NA,NA,NA,NA,NA,NA,NA
14,NA,NA,NA,NA,NA,NA,NA
15,NA,NA,NA,NA,NA,NA,NA
16,NA,NA,NA,NA,NA,NA,NA
17,NA,NA,NA,NA,NA,NA,NA
18,NA,NA,NA,NA,NA,NA,NA
19,NA,NA,NA,NA,NA,NA,NA
20,NA,NA,NA,NA,NA,NA,NA
21,NA,NA,NA,NA,NA,NA,NA
22,NA,NA,NA,NA,NA,NA,NA
23,NA,NA,NA,NA,NA,NA,NA
24,NA,NA,NA,NA,NA,NA,NA
25,NA,NA,NA,NA,NA,NA,NA
26,NA,NA,NA,NA,NA,NA,NA
27,NA,NA,NA,NA,NA,NA,NA
28,NA,NA,NA,NA,NA,NA,NA
29,NA,NA,NA,NA,NA,NA,NA
30,NA,NA,NA,NA,NA,NA,NA
31,NA,NA,NA,NA,NA,NA,NA
32,NA,NA,NA,NA,NA,NA,NA
33,NA,NA,NA,NA,NA,NA,NA
34,NA,NA,NA,NA,NA,NA,NA
35,NA,NA,NA,NA,NA,NA,NA
36,NA,NA,NA,NA,NA,NA,NA
37,NA,NA,NA,NA,NA,NA,NA
38,NA,NA,NA,NA,NA,NA,NA
39,NA,NA,NA,NA,NA,NA,NA
40,NA,NA,NA,NA,NA,NA,NA
